                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.84168,                0.45383,                0.98089,                0.89194,                0.88358,                 0.9085,                0.59433,                0.88139,                0.40314,                0.96809,              0.0079012,              0.0079012,              0.0079012
                    108,                0.84085,                0.45572,                0.98339,                0.88443,                0.87176,                0.90911,                0.59324,                0.87984,                0.40453,                0.96805,              0.0078814,              0.0078814,              0.0078814
                    109,                0.81916,                0.44359,                0.98552,                0.91537,                0.83806,                0.90068,                0.58817,                0.87542,                0.40586,                0.96542,              0.0078616,              0.0078616,              0.0078616
                    110,                0.83188,                0.45064,                0.98321,                0.91118,                0.84349,                0.90347,                0.59166,                0.87551,                0.40731,                0.96419,              0.0078418,              0.0078418,              0.0078418
                    111,                0.81925,                0.43566,                0.98009,                0.91839,                0.85033,                0.90512,                0.58912,                0.87747,                0.40532,                0.96451,               0.007822,               0.007822,               0.007822
                    112,                 0.8238,                0.44511,                0.98164,                0.91713,                0.85016,                0.90475,                0.58515,                0.88051,                0.40654,                0.96684,              0.0078022,              0.0078022,              0.0078022
                    113,                0.82364,                0.44529,                0.98454,                0.91524,                 0.8496,                0.90573,                0.58964,                0.88292,                0.40469,                0.96712,              0.0077824,              0.0077824,              0.0077824
                    114,                0.80911,                0.43416,                0.98069,                0.91581,                0.84905,                0.90441,                0.58644,                0.88305,                 0.4046,                0.96691,              0.0077626,              0.0077626,              0.0077626
                    115,                0.82888,                0.44403,                0.98272,                0.92212,                0.84867,                0.90515,                0.58651,                 0.8847,                 0.4064,                0.96653,              0.0077428,              0.0077428,              0.0077428
                    116,                 0.8228,                0.44026,                0.97716,                0.91614,                0.85124,                0.91037,                0.58935,                0.88408,                0.40692,                0.96677,               0.007723,               0.007723,               0.007723
                    117,                0.80579,                 0.4396,                0.97103,                0.91582,                 0.8526,                0.90957,                0.59257,                0.88881,                0.41056,                 0.9709,              0.0077032,              0.0077032,              0.0077032
                    118,                0.80249,                0.43272,                0.97617,                0.91748,                0.85124,                0.90884,                0.59082,                0.88641,                0.40632,                0.97042,              0.0076834,              0.0076834,              0.0076834
                    119,                 0.8198,                0.43963,                0.98411,                0.91825,                0.85182,                0.90879,                0.59073,                0.88699,                0.40267,                0.97002,              0.0076636,              0.0076636,              0.0076636
                    120,                0.80378,                0.43005,                0.97432,                0.91958,                0.85194,                0.90747,                0.59613,                0.88456,                0.40237,                0.96963,              0.0076438,              0.0076438,              0.0076438
                    121,                0.81725,                0.43833,                0.98337,                0.91527,                0.85166,                 0.9058,                0.59614,                0.88301,                 0.4024,                0.96913,               0.007624,               0.007624,               0.007624
                    122,                0.79226,                0.43393,                 0.9673,                0.91099,                0.85269,                0.90432,                0.59354,                0.88132,                0.40269,                0.96974,              0.0076042,              0.0076042,              0.0076042
                    123,                0.82146,                0.43355,                0.98103,                 0.9096,                0.85249,                 0.9027,                0.59161,                0.88172,                0.40245,                0.96972,              0.0075844,              0.0075844,              0.0075844
                    124,                0.80629,                0.43085,                 0.9736,                0.91205,                0.85216,                0.90284,                0.59489,                0.87904,                0.40019,                0.96799,              0.0075646,              0.0075646,              0.0075646
                    125,                0.79415,                0.43455,                0.96362,                0.90628,                0.85216,                0.90437,                0.59311,                0.87915,                0.40041,                0.96717,              0.0075448,              0.0075448,              0.0075448
                    126,                0.80395,                0.42947,                 0.9709,                0.90338,                0.85295,                0.90437,                0.59578,                0.87848,                0.40275,                0.96636,               0.007525,               0.007525,               0.007525
                    127,                0.79974,                0.43022,                0.96974,                0.89545,                0.85417,                0.90566,                 0.5947,                0.87983,                0.40138,                0.96602,              0.0075052,              0.0075052,              0.0075052
                    128,                0.79361,                0.42291,                0.97065,                0.89174,                0.85491,                0.89562,                0.59442,                0.87944,                 0.4016,                0.96623,              0.0074854,              0.0074854,              0.0074854
                    129,                0.79397,                0.42546,                0.96621,                0.88871,                 0.8549,                0.89666,                0.59527,                0.87938,                0.40069,                0.96709,              0.0074656,              0.0074656,              0.0074656
                    130,                0.80279,                0.43509,                0.96728,                0.88887,                0.85476,                0.89506,                0.60002,                 0.8781,                0.40104,                 0.9674,              0.0074458,              0.0074458,              0.0074458
                    131,                0.78522,                0.42226,                  0.968,                0.88835,                 0.8549,                0.89481,                0.59955,                0.87783,                0.40197,                0.96599,               0.007426,               0.007426,               0.007426
                    132,                0.77802,                0.41908,                0.96045,                0.89312,                0.85372,                0.89427,                0.59514,                0.87702,                0.40169,                0.96606,              0.0074062,              0.0074062,              0.0074062
                    133,                0.79093,                0.42959,                0.96669,                0.89258,                0.85307,                 0.8943,                0.59355,                0.87659,                0.40161,                0.96567,              0.0073864,              0.0073864,              0.0073864
                    134,                0.76764,                0.41082,                0.96243,                 0.8937,                0.85392,                0.89502,                0.59458,                 0.8751,                0.40085,                0.96502,              0.0073666,              0.0073666,              0.0073666
                    135,                0.78155,                0.41454,                0.96394,                0.87843,                 0.8447,                0.89434,                0.59046,                0.87554,                0.40002,                0.96482,              0.0073468,              0.0073468,              0.0073468
                    136,                0.78838,                0.41876,                0.96309,                0.87921,                0.84254,                0.89389,                0.59247,                0.87565,                0.40111,                0.96516,               0.007327,               0.007327,               0.007327
                    137,                0.77499,                0.41255,                0.96513,                0.87979,                0.84299,                0.89496,                0.59356,                0.87565,                0.40174,                0.96591,              0.0073072,              0.0073072,              0.0073072
                    138,                 0.7738,                0.41249,                0.96433,                0.87961,                0.84299,                0.89494,                 0.5892,                0.87626,                0.40144,                0.96573,              0.0072874,              0.0072874,              0.0072874
                    139,                0.77612,                0.41626,                0.96813,                 0.8821,                0.84299,                0.89447,                0.59029,                0.87555,                0.40193,                0.96572,              0.0072676,              0.0072676,              0.0072676
                    140,                0.76415,                0.41326,                0.95704,                0.88211,                0.84299,                0.89338,                0.58918,                0.87542,                0.40059,                0.96514,              0.0072478,              0.0072478,              0.0072478
                    141,                0.76987,                0.41068,                0.95667,                0.88401,                0.84299,                0.89467,                 0.5937,                0.87499,                0.40093,                0.96477,               0.007228,               0.007228,               0.007228
                    142,                 0.7714,                0.40876,                0.96238,                0.89293,                0.83124,                  0.895,                0.59479,                0.87582,                0.40244,                0.96509,              0.0072082,              0.0072082,              0.0072082
                    143,                0.76994,                0.41231,                0.96229,                0.87282,                0.84739,                0.89214,                0.59081,                 0.8763,                  0.404,                0.96493,              0.0071884,              0.0071884,              0.0071884
                    144,                0.76902,                0.41054,                0.95568,                0.88126,                0.84357,                0.89145,                0.58999,                0.87673,                0.40192,                0.96549,              0.0071686,              0.0071686,              0.0071686
                    145,                 0.7607,                0.40967,                0.95869,                0.88934,                0.83822,                0.89118,                0.58977,                0.87632,                0.40137,                0.96518,              0.0071488,              0.0071488,              0.0071488
                    146,                0.76089,                0.41184,                0.95746,                 0.8888,                0.83921,                0.89565,                0.59033,                0.87615,                0.40336,                0.96552,               0.007129,               0.007129,               0.007129
                    147,                0.76872,                0.40932,                0.96245,                0.88779,                0.84193,                0.89568,                0.59057,                 0.8768,                0.40442,                0.96585,              0.0071092,              0.0071092,              0.0071092
                    148,                0.75075,                0.40736,                0.95289,                0.88749,                0.84143,                0.89581,                0.58851,                0.87768,                0.40504,                0.96635,              0.0070894,              0.0070894,              0.0070894
                    149,                0.76986,                0.41058,                0.96107,                0.88739,                0.84111,                0.89371,                0.58822,                0.87657,                0.40611,                0.96615,              0.0070696,              0.0070696,              0.0070696
                    150,                0.76327,                0.40841,                0.95175,                0.88745,                0.84245,                0.89286,                 0.5903,                0.87672,                0.40433,                0.96578,              0.0070498,              0.0070498,              0.0070498
                    151,                0.76217,                0.40833,                0.95507,                0.88766,                 0.8439,                0.89233,                0.58731,                0.87655,                0.40327,                0.96593,                0.00703,                0.00703,                0.00703
                    152,                0.72966,                0.39297,                0.94817,                0.88799,                0.84513,                0.89219,                0.58895,                0.87714,                0.40414,                  0.966,              0.0070102,              0.0070102,              0.0070102
